1, 2430, 3233
2, 2372, 2907
3, 2524, 2808
4, 18697, 6813
5, 1981, 5867
6, 1863, 5219
7, 2220, 4802
8, 3907, 4703
9, 1633, 4369
10, 1408, 4082
11, 1597, 3868
12, 1505, 3679
13, 1709, 3535
14, 1558, 3401
15, 1656, 3293
16, 1083, 3165
17, 1326, 3063
18, 1245, 2970
19, 1253, 2886
20, 1253, 2810
21, 2229, 2787
22, 1311, 2727
23, 1203, 2665
24, 1541, 2623
25, 1426, 2579
26, 1581, 2543
27, 1355, 2502
28, 1550, 2472
29, 1610, 2446
30, 1521, 2418
31, 1432, 2389
32, 1174, 2354
33, 1335, 2326
34, 1184, 2295
35, 1076, 2262
36, 1141, 2234
37, 1155, 2207
38, 1038, 2178
39, 1126, 2154
40, 1121, 2130
41, 1168, 2108
42, 1070, 2086
43, 1293, 2071
44, 1264, 2055
45, 1294, 2040
46, 1340, 2028
47, 1269, 2013
48, 1232, 1999
49, 1256, 1986
50, 1322, 1974
51, 1290, 1963
52, 1246, 1950
53, 1189, 1938
54, 1094, 1924
55, 1304, 1914
56, 1707, 1911
57, 1192, 1901
58, 1342, 1893
59, 1491, 1887
60, 1493, 1883
61, 1522, 1879
62, 1442, 1874
63, 1511, 1869
64, 1338, 1862
65, 1496, 1859
66, 1538, 1856
67, 1445, 1853
68, 1506, 1849
69, 980, 1838
70, 1251, 1832
71, 1236, 1824
72, 1097, 1815
73, 1261, 1810
74, 1378, 1806
75, 1220, 1800
76, 1234, 1794
77, 1275, 1788
78, 1114, 1780
79, 1279, 1775
80, 2446, 1784
81, 1214, 1778
82, 1302, 1773
83, 1468, 1771
84, 1521, 1769
85, 1963, 1773
86, 1461, 1770
87, 1475, 1768
88, 1347, 1764
89, 1453, 1762
90, 1453, 1760
91, 1403, 1758
92, 1375, 1754
93, 1327, 1751
94, 1385, 1748
95, 1490, 1747
96, 1418, 1745
97, 1380, 1742
98, 1291, 1739
99, 1251, 1735
100, 1275, 1732
0, 0, 1732
